review_id,product_id,customer_id,rating,review_text,review_date
rid86034,pid15345,cid85200,3,Not too shabby,2/6/2020
rid88292,pid56082,cid48301,4,That was good,2/13/2020
rid12420,pid97581,cid84851,3,Not too shabby,1/25/2020
rid62912,pid65005,cid34571,5,It was awesome,1/8/2020
rid40141,pid55044,cid87177,1,"Bad, did not like it",2/19/2020
rid98962,pid82265,cid50762,2,It was not that good,2/23/2020
rid52079,pid38287,cid61871,1,"Bad, did not like it",2/29/2020
rid06263,pid30100,cid75030,3,Not too shabby,1/6/2020
rid46916,pid01492,cid04405,5,It was awesome,2/20/2020
rid88992,pid97863,cid42871,3,Not too shabby,2/29/2020
rid40589,pid78374,cid14079,3,Not too shabby,1/11/2020
rid77612,pid16700,cid98616,4,That was good,12/31/2020
rid04171,pid01119,cid85500,4,That was good,1/27/2020
rid14117,pid18506,cid86697,2,It was not that good,2/25/2020
rid04369,pid75597,cid90317,1,"Bad, did not like it",2/5/2020
rid65126,pid89300,cid56028,3,Not too shabby,3/5/2020
rid37809,pid46855,cid23201,1,"Bad, did not like it",1/4/2020
rid93708,pid66210,cid19124,3,Not too shabby,3/5/2020
rid75569,pid88316,cid15728,4,That was good,2/1/2020
rid58396,pid44307,cid90870,5,It was awesome,2/14/2020
rid83850,pid23125,cid36908,1,"Bad, did not like it",2/20/2020
rid07306,pid81136,cid89461,5,It was awesome,2/17/2020
rid37019,pid34593,cid67480,4,That was good,2/17/2020
rid75019,pid08484,cid13020,3,Not too shabby,1/26/2020
rid06752,pid28340,cid07261,4,That was good,1/23/2020
rid43313,pid33527,cid20917,1,"Bad, did not like it",3/5/2020
rid94012,pid25982,cid23403,1,"Bad, did not like it",2/9/2020
rid24125,pid18174,cid04756,2,It was not that good,1/8/2020
rid78518,pid66132,cid63831,4,That was good,2/16/2020
rid75835,pid38248,cid72111,3,Not too shabby,1/10/2020
rid68970,pid10573,cid34012,4,That was good,1/6/2020
rid35680,pid45560,cid75602,1,"Bad, did not like it",2/22/2020
rid04869,pid65488,cid67195,1,"Bad, did not like it",1/8/2020
rid15793,pid02604,cid82808,5,It was awesome,1/11/2020
rid71647,pid35616,cid07821,3,Not too shabby,3/3/2020
rid09988,pid55834,cid29647,3,Not too shabby,1/20/2020
rid51469,pid55158,cid89175,4,That was good,1/23/2020
rid30205,pid92416,cid41346,4,That was good,2/27/2020
rid59475,pid20114,cid91368,3,Not too shabby,2/10/2020
rid25250,pid07178,cid59959,4,That was good,3/3/2020
rid44371,pid07147,cid19972,3,Not too shabby,2/14/2020
rid53948,pid27690,cid86538,5,It was awesome,1/19/2020
rid29617,pid87323,cid59130,3,Not too shabby,2/12/2020
rid70119,pid17567,cid15085,2,It was not that good,1/20/2020
rid49430,pid98976,cid79560,1,"Bad, did not like it",1/25/2020
rid78590,pid65473,cid98436,4,That was good,1/4/2020
rid65730,pid70547,cid05128,4,That was good,1/10/2020
rid33722,pid62235,cid48347,5,It was awesome,2/22/2020
rid81118,pid39202,cid31573,4,That was good,2/13/2020
rid36153,pid76379,cid98729,4,That was good,2/6/2020
